# specify 1 map per line, mapname|factoryid
# ex: aerowalk|ffa
# see factories.txt for valid factory id values
basesiege|qlrace_turbo
beyondreality|qlrace_turbo
campercrossings|qlrace_turbo
aerowalk|qlrace_turbo
almostlost|qlrace_turbo
arcanecitadel|qlrace_turbo
citycrossings|qlrace_turbo
coldcathode|qlrace_turbo
courtyard|qlrace_turbo
blackcathedral|qlrace_turbo
brimstoneabbey|qlrace_turbo
chemicalreaction|qlrace_turbo
bloodrun|qlrace_turbo
lostworld|qlrace_turbo
furiousheights|qlrace_turbo
spacectf|qlrace_turbo
courtyard|qlrace_turbo
falloutbunker|qlrace_turbo
campgrounds|qlrace_turbo
asylum|qlrace_turbo
arkinholm|qlrace_turbo
coldwar|qlrace_turbo
cliffside|qlrace_turbo
theedge|qlrace_turbo
rebound|qlrace_turbo
reflux|qlrace_turbo
railyard|qlrace_turbo
pillbox|qlrace_turbo
ironworks|qlrace_turbo
stonekeep|qlrace_turbo
phrantic|qlrace_turbo
longestyard|qlrace_turbo
quarantine|qlrace_turbo
spacechamber|qlrace_turbo
tornado|qlrace_turbo
trinity|qlrace_turbo
silentfright|qlrace_turbo
devilish|qlrace_turbo
fatalinstinct|qlrace_turbo
monastery|qlrace_turbo
namelessplace|qlrace_turbo
leviathan|qlrace_turbo
foolishlegacy|qlrace_turbo
deepinside|qlrace_turbo
infinity|qlrace_turbo
dreadfulplace|qlrace_turbo
demonkeep|qlrace_turbo
dredwerkz|qlrace_turbo
devilish|qlrace_turbo
dismemberment|qlrace_turbo
purgatory|qlrace_turbo
cpm1|qlrace_turbo
cpm2|qlrace_turbo
cpm3|qlrace_turbo
cpm4|qlrace_turbo
cpm5|qlrace_turbo
cpm6|qlrace_turbo
cpm7|qlrace_turbo
cpm8|qlrace_turbo
cpm10|qlrace_turbo
df_0ups|qlrace_turbo
df_o3jvelocity|qlrace_turbo
df_cityrocket|qlrace_turbo
df_enz12|qlrace_turbo
df_ghostcheerslick|qlrace_turbo
df_ghostslickthis|qlrace_turbo
df_liquidazot|qlrace_turbo
df_pornstarlambaslick|qlrace_turbo
df_ghostcheerextended|qlrace_turbo
df_jjm2|qlrace_turbo
df_coldrun|qlrace_turbo
df_palmslane|qlrace_turbo
df_freestyle88|qlrace_turbo
df_bardoklick|qlrace_turbo
df_bardoklickrevamped|qlrace_turbo
df_lickagain|qlrace_turbo
df_lickape|qlrace_turbo
df_lickass|qlrace_turbo
df_lickcells|qlrace_turbo
df_lickcells2|qlrace_turbo
df_lickcorp|qlrace_turbo
df_lickdead|qlrace_turbo
df_lickdecease|qlrace_turbo
df_lickdirt|qlrace_turbo
df_lickevil|qlrace_turbo
df_lickfast|qlrace_turbo
df_lickfudge|qlrace_turbo
df_lickgirls|qlrace_turbo
df_lickgoogle|qlrace_turbo
df_lickhossa|qlrace_turbo
df_lickhq|qlrace_turbo
df_lickhuar|qlrace_turbo
df_lickhuar2|qlrace_turbo
df_lickhuarstyle|qlrace_turbo
df_lickice|qlrace_turbo
df_lickfast|qlrace_turbo
df_lickmax|qlrace_turbo
df_lickmore|qlrace_turbo
df_lickmore2|qlrace_turbo
df_lickpads|qlrace_turbo
df_lickrevived|qlrace_turbo
df_lickrevived2|qlrace_turbo
df_licksewage|qlrace_turbo
df_lickshit|qlrace_turbo
df_licksux|qlrace_turbo
df_licktards|qlrace_turbo
df_licktunnel|qlrace_turbo
df_cpma3x-1|qlrace_turbo
df_cpma3x-2|qlrace_turbo
df_cpma3x-3|qlrace_turbo
df_cpma3x-4|qlrace_turbo
df_cpma3x-5|qlrace_turbo
df_tr1ckhouse|qlrace_turbo
cos1_beta7b|qlrace_turbo
df_pornstarslopin|qlrace_turbo
df_momentum|qlrace_turbo
df_bardokstatik|qlrace_turbo
df_csu1a|qlrace_turbo
